date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:28:53	65626/65626	---M--	200	added ('OK')	image/png	etag:%221005a-5a95332aafe40%22	https://diri.isb.edu/content/dam/sites/diri/Firstpost%20and%20Aadhar%20(2).png	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/diri/Firstpost%20and%20Aadhar%20(2).png	(from https://diri.isb.edu/en.html)
21:28:53	42122/42122	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Dec%202020%2015:58:53%20GMT	https://diri.isb.edu/en/visualisations/firstpost-and-aadhar.html	/home/rishabh_/websites/ISB/diri.isb.edu/en/visualisations/firstpost-and-aadhar.1e.delayed	(from https://diri.isb.edu/en.html)
21:28:55	135216/135216	---M--	200	added ('OK')	image/png	etag:%2221030-5a9533094ef80%22	https://diri.isb.edu/content/dam/sites/diri/India%20Health%20Dashboard%20(2).png	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/diri/India%20Health%20Dashboard%20(2).png	(from https://diri.isb.edu/en.html)
21:28:55	42122/42122	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Dec%202020%2015:58:55%20GMT	https://diri.isb.edu/en/Data-Portals.html	/home/rishabh_/websites/ISB/diri.isb.edu/en/Data-Portals.20.delayed	(from https://diri.isb.edu/en.html)
21:28:58	121006/121006	---M--	200	added ('OK')	image/png	etag:%221d8ae-5a95332aafe40%22	https://diri.isb.edu/content/dam/sites/diri/Aadhar%20in%20Newsmedia%20(2).png	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/diri/Aadhar%20in%20Newsmedia%20(2).png	(from https://diri.isb.edu/en.html)
21:28:58	467600/467600	---M--	200	added ('OK')	image/png	etag:%2272290-5a9533085ad40%22	https://diri.isb.edu/content/dam/sites/diri/NREGA%20Distress%20(2).png	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/diri/NREGA%20Distress%20(2).png	(from https://diri.isb.edu/en.html)
21:28:58	51330/51330	---M-Z	200	added ('OK')	text/html	etag:%22c882-5b544502a8765-gzip%22	https://diri.isb.edu/en/steering-committee.html	/home/rishabh_/websites/ISB/diri.isb.edu/en/steering-committee.html	(from https://diri.isb.edu/en.html)
21:28:59	53447/53447	---M-Z	200	added ('OK')	text/html	etag:W/%22d0c7-5b569346d5019-gzip%22	https://diri.isb.edu/en/AffiliatedFaculty.html	/home/rishabh_/websites/ISB/diri.isb.edu/en/AffiliatedFaculty.html	(from https://diri.isb.edu/en.html)
21:29:00	63425/63425	---M-Z	200	added ('OK')	text/html	etag:%22f7c1-5b560a3269533-gzip%22	https://diri.isb.edu/en/our-people.html	/home/rishabh_/websites/ISB/diri.isb.edu/en/our-people.html	(from https://diri.isb.edu/en.html)
21:29:01	42760/42760	---M-Z	200	added ('OK')	text/html	etag:%22a708-5b543f71005b3-gzip%22	https://diri.isb.edu/en/work-with-us0.html	/home/rishabh_/websites/ISB/diri.isb.edu/en/work-with-us0.html	(from https://diri.isb.edu/en.html)
21:29:02	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2001%20Dec%202020%2015:59:02%20GMT	https://diri.isb.edu/en/news-events/news-grid/isb-triple-crown31121.html	/home/rishabh_/websites/ISB/diri.isb.edu/en/news-events/news-grid/isb-triple-crown31121.27.delayed	(from https://diri.isb.edu/en.html)
21:29:03	2636/2636	---M--	200	added ('OK')	image/png	etag:%22a4c-5a95331a79800%22	https://diri.isb.edu/content/dam/sites/diri/newsarticle.png	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/diri/newsarticle.png	(from https://diri.isb.edu/en.html)
21:29:04	87100/87100	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2015:59:04%20GMT	https://diri.isb.edu/en/news-events/news-grid.html?cat=	/home/rishabh_/websites/ISB/diri.isb.edu/en/news-events/news-grid52f5.html	(from https://diri.isb.edu/en.html)
21:29:05	101861/101861	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2015:59:05%20GMT	https://diri.isb.edu/en/news-events/events-grid.html?cat=	/home/rishabh_/websites/ISB/diri.isb.edu/en/news-events/events-grid52f5.html	(from https://diri.isb.edu/en.html)
21:29:07	160420/160420	---M--	200	added ('OK')	image/png	etag:%22272a4-5aab720e26bc0%22	https://diri.isb.edu/content/dam/sites/diri/DIRI-Connect.png	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/diri/DIRI-Connect.png	(from https://diri.isb.edu/en.html)
21:29:07	1885/1885	---M--	200	added ('OK')	image/svg+xml	etag:%2275d-5a95184528940%22	https://diri.isb.edu/content/dam/sites/isb/icons/twitter-blue.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/twitter-blue.svg	(from https://diri.isb.edu/en.html)
21:29:08	1712/1712	---M--	200	added ('OK')	image/svg+xml	etag:%226b0-5a951838c2c00%22	https://diri.isb.edu/content/dam/sites/isb/icons/youtube-blue.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/youtube-blue.svg	(from https://diri.isb.edu/en.html)
21:29:09	39405/39405	---M-Z	200	added ('OK')	text/html	etag:W/%2299ed-5b5693504cd99-gzip%22	https://diri.isb.edu/en/sitemap.html	/home/rishabh_/websites/ISB/diri.isb.edu/en/sitemap.html	(from https://diri.isb.edu/en.html)
21:29:10	1427/1427	---M--	200	added ('OK')	image/svg+xml	etag:%22593-5a951838c2c00%22	https://diri.isb.edu/content/dam/sites/isb/icons/go-top.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/go-top.svg	(from https://diri.isb.edu/en.html)
21:29:11	15136/15136	---M-Z	200	added ('OK')	text/html	etag:%223b20-5b07f1e160f60-gzip%22	https://diri.isb.edu/en/legal/privacy-policy.html	/home/rishabh_/websites/ISB/diri.isb.edu/en/legal/privacy-policy.html	(from https://diri.isb.edu/en.html)
21:29:12	15144/15144	---M-Z	200	added ('OK')	text/html	etag:%223b28-5b07f29108d9a-gzip%22	https://diri.isb.edu/en/legal/terms-conditions.html	/home/rishabh_/websites/ISB/diri.isb.edu/en/legal/terms-conditions.html	(from https://diri.isb.edu/en.html)
21:29:13	15152/15152	---M-Z	200	added ('OK')	text/html	etag:%223b30-5b07f1e2decc4-gzip%22	https://diri.isb.edu/en/legal/non-discrimination.html	/home/rishabh_/websites/ISB/diri.isb.edu/en/legal/non-discrimination.html	(from https://diri.isb.edu/en.html)
